	id	arquivo	nome	ano	km	cor	cambio	portas	preco
634	754	./dados/dados_carro\Carro-1870.html	Hyundai HB20 1.0 Comfort Plus 2017	2017 / 2017	45.0	Preto	manual	5.0	36.900,00
635	755	./dados/dados_carro\Carro-1872.html	Hyundai HB20 1.0 Comfort 2017	2016 / 2017	71.0	Preto	manual	5.0	38.900,00
636	756	./dados/dados_carro\Carro-1873.html	Hyundai HB20 1.0 Comfort 2017	2017 / 2017	61.0	Prata	manual	5.0	38.900,00
637	757	./dados/dados_carro\Carro-1874.html	Hyundai HB20 1.0 Comfort 2017	2016 / 2017	34.5	Prata	manual		38.990,00
638	758	./dados/dados_carro\Carro-1875.html	Hyundai HB20 1.0 Comfort 2017	2017 / 2017	36.159	Cinza	manual	4.0	39.500,00
639	759	./dados/dados_carro\Carro-1877.html	Hyundai HB20 1.0 Comfort 2017	2016 / 2017	66.0	Cinza	manual	4.0	40.900,00
640	760	./dados/dados_carro\Carro-1878.html	Hyundai HB20 1.6 Comfort Plus 2017	2016 / 2017	50.0	Azul	manual	4.0	42.900,00
641	761	./dados/dados_carro\Carro-1879.html	Hyundai HB20 1.6 Comfort Plus 2017	2016 / 2017	64.913	Cinza	manual	4.0	42.990,00
642	762	./dados/dados_carro\Carro-188.html	Chevrolet Onix 1.0 Turbo Premier (Aut) 2020	2019 / 2020	0.0	Branco	automático	4.0	74.990,00
643	763	./dados/dados_carro\Carro-1880.html	Hyundai HB20 1.6 Comfort Plus (Aut) 2017	2016 / 2017	50.1	Prata	automático	5.0	45.890,00
644	764	./dados/dados_carro\Carro-1881.html	Hyundai HB20 1.6 R Spec 2017	2016 / 2017	17.0	Vermelho	manual	4.0	48.900,00
645	765	./dados/dados_carro\Carro-1882.html	Hyundai HB20 1.0 Comfort Plus 2016	2016 / 2016	98.0	Prata	manual	4.0	30.900,00
646	766	./dados/dados_carro\Carro-1885.html	Hyundai HB20 1.0 Comfort Plus 2016	2016 / 2016	78.4	Preto	manual	4.0	35.900,00
647	767	./dados/dados_carro\Carro-1886.html	Hyundai HB20 1.0 Comfort 2016	2016 / 2016	13.3	Branco	manual	5.0	36.900,00
648	768	./dados/dados_carro\Carro-1887.html	Hyundai HB20 1.0 Comfort Plus 2016	2016 / 2016	64.774	Marrom	manual	4.0	36.899,00
649	769	./dados/dados_carro\Carro-1888.html	Hyundai HB20 1.0 Comfort Plus 2016	2016 / 2016	57.0	Prata	manual	4.0	37.900,00
650	770	./dados/dados_carro\Carro-189.html	Chevrolet Onix 1.0 Turbo Premier (Aut) 2020	2019 / 2020	20.0	Branco	automático	4.0	75.000,00
651	771	./dados/dados_carro\Carro-1890.html	Hyundai HB20 1.6 Comfort Plus (Aut) 2016	2015 / 2016	41.0	Preto	automático	4.0	39.990,00
652	772	./dados/dados_carro\Carro-1891.html	Hyundai HB20 1.0 Comfort Plus 2016	2015 / 2016	42.707	Branco	manual	4.0	38.990,00
653	773	./dados/dados_carro\Carro-1892.html	Hyundai HB20 1.0 Comfort Plus 2016	2016 / 2016	40.0	Marrom	manual	4.0	39.900,00
654	774	./dados/dados_carro\Carro-1893.html	Hyundai HB20 1.6 Comfort Style 2016	2015 / 2016	48.72	Branco	manual	4.0	39.990,00
655	775	./dados/dados_carro\Carro-1895.html	Hyundai HB20 1.6 Comfort Plus 2016	2016 / 2016	42.0	Branco	manual	5.0	42.900,00
656	776	./dados/dados_carro\Carro-1896.html	Hyundai HB20 1.6 Comfort Plus (Aut) 2016	2015 / 2016	33.895	Prata	automático	5.0	42.990,00
657	777	./dados/dados_carro\Carro-1899.html	Hyundai HB20 1.0 Comfort Style 2015	2014 / 2015	87.186	Branco	manual	4.0	33.900,00
658	778	./dados/dados_carro\Carro-19.html	Chevrolet Onix 1.0 Joy SPE/4 2019	2019 / 2019	30.12	Prata	manual	3.0	36.900,00
659	779	./dados/dados_carro\Carro-190.html	Chevrolet Onix 1.0 Turbo Premier (Aut) 2020	2019 / 2020	6.147	Preto	automático	5.0	75.000,00
660	780	./dados/dados_carro\Carro-1901.html	Hyundai HB20 1.0 Comfort Plus 2015	2014 / 2015	95.95	Branco	manual	4.0	34.899,00
661	781	./dados/dados_carro\Carro-1903.html	Hyundai HB20 1.0 Comfort 2015	2015 / 2015	61.653	Cinza	manual	4.0	35.900,00
662	782	./dados/dados_carro\Carro-1905.html	Hyundai HB20 1.0 Comfort Plus 2015	2015 / 2015	111.111	Vermelho	manual	4.0	36.900,00
663	783	./dados/dados_carro\Carro-1907.html	Hyundai HB20 1.6 Premium 2015	2015 / 2015	51.489	Branco	manual	4.0	39.900,00
664	784	./dados/dados_carro\Carro-1908.html	Hyundai HB20 1.6 Premium (Aut) 2015	2014 / 2015	51.795	Preto	automático	4.0	42.500,00
665	785	./dados/dados_carro\Carro-1909.html	Hyundai HB20 1.6 Premium (Aut) 2015	2015 / 2015	43.0	Branco	automático	4.0	44.890,00
