	arquivo	nome	ano	km	cor	cambio	portas	preco
1514	./dados/dados_carro\Carro-507.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	21.447 	Branco	manual	4.0	47.010,00
1515	./dados/dados_carro\Carro-508.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	20.682 	Branco	manual	4.0	47.010,00
1516	./dados/dados_carro\Carro-509.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	32.863 	Branco	manual	4.0	47.050,00
1517	./dados/dados_carro\Carro-51.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0	Preto	manual	5.0	53.960,00
1518	./dados/dados_carro\Carro-510.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	31.976 	Branco	manual	4.0	47.090,00
1519	./dados/dados_carro\Carro-511.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	17.938 	Branco	manual	4.0	47.100,00
1520	./dados/dados_carro\Carro-512.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	17.341 	Branco	manual	4.0	47.100,00
1521	./dados/dados_carro\Carro-513.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	45.020 	Branco	manual	4.0	47.250,00
1522	./dados/dados_carro\Carro-514.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	26.699 	Branco	manual	4.0	47.280,00
1523	./dados/dados_carro\Carro-515.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	0	Branco	manual	5.0	47.349,00
1524	./dados/dados_carro\Carro-516.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	42.300 	Branco	manual	4.0	47.370,00
1525	./dados/dados_carro\Carro-517.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	42.300 	Branco	manual	4.0	47.370,00
1526	./dados/dados_carro\Carro-518.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	42.591 	Branco	manual	4.0	47.370,00
1527	./dados/dados_carro\Carro-519.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	42.568 	Prata	manual	4.0	47.370,00
1528	./dados/dados_carro\Carro-52.html	Chevrolet Onix 1.0 LT (Flex) 2020	2020 / 2020	0	Preto	manual	5.0	53.970,00
1529	./dados/dados_carro\Carro-520.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	25.267 	Branco	manual	4.0	47.380,00
1530	./dados/dados_carro\Carro-522.html	Fiat Argo 1.0 Drive 2020	2019 / 2020	25.242 	Branco	manual	4.0	47.380,00
